,equity
2026-05-31 04:55:00+00:00,10127.01943138092
2026-05-31 05:00:00+00:00,10127.404562372796
2026-05-31 05:05:00+00:00,10127.514118891211
2026-05-31 05:10:00+00:00,10127.514118891211
2026-05-31 05:15:00+00:00,10127.706730418768
2026-05-31 05:20:00+00:00,10127.706730418768
2026-05-31 05:25:00+00:00,10127.930869109272
2026-05-31 05:30:00+00:00,10127.630396476683
2026-05-31 05:35:00+00:00,10127.520932248446
2026-05-31 05:40:00+00:00,10127.399031418736
2026-05-31 05:45:00+00:00,10126.97297340311
2026-05-31 05:50:00+00:00,10127.358983426871
2026-05-31 05:55:00+00:00,10127.785039757684
2026-05-31 06:00:00+00:00,10127.448866321976
2026-05-31 06:05:00+00:00,10127.641880403668
2026-05-31 06:10:00+00:00,10127.641880403668
2026-05-31 06:15:00+00:00,10127.215453377125
2026-05-31 06:20:00+00:00,10126.7892237705
2026-05-31 06:25:00+00:00,10126.363012102833
2026-05-31 06:30:00+00:00,10126.582899470774
2026-05-31 06:35:00+00:00,10127.161781877374
2026-05-31 06:40:00+00:00,10127.35490090449
2026-05-31 06:45:00+00:00,10127.740484567192
2026-05-31 06:50:00+00:00,10127.740484567192
2026-05-31 06:55:00+00:00,10127.823054400205
2026-05-31 07:00:00+00:00,10128.209538775493
2026-05-31 07:05:00+00:00,10128.402640959262
2026-05-31 07:10:00+00:00,10128.402640959262
2026-05-31 07:15:00+00:00,10128.292585513855
